,X,SubjectIdentification,FirstName,LastName,SocialSecurityNumber,Sex,BirthDate,Race,Ethnicity,EyeColorText,RegisteredSexOffender,IncidentDate,IncidentID,IncidentStreet,IncidentCity,OffenseLocalStatute,OffenseLocalText,ArrestingOfficerBadgeID,ArrOfficerFirstName,ArrOfficerLastName,ArrestNumber,ArrestDate,ReleaseDate,WarrantType,ArrestingAgencyName,ArrestCategory,WeaponPresent,DrugsPresent,ChargeID,ChargeLevel,ChargeLevelState,ReleaseOfficerBadgeID,RelOfficerFirstName,RelOfficerLastName,TranspOfficerBadgeID,TranspOfficerFirstName,TranspOfficerLastName,SentenceID,ConvictionResults,SentenceTermDays,SentenceDurationYrs,AgeAtBooking,BookingID
484,484,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthony,Burton Johnston,577-39-1310,M,12/12/94,other,hispanic,brown,,4/18/15,2015-41977,2151 ROYAL AVE,Anytown,,PUBLIC URINATION (IC ORDINANCE,9474,SHAWN,WOOD,20-00485,4/20/15,4/23/15, ,Any County Sheriff,Taken into custody,Handgun,0,99361,M,Simple Misdemeanor,2627,JEFF,JACOBS,7086,WILLIAM,ROLING,91044,sentenced,10,,47,17870
485,485,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Miller,035-68-3884,F,4/1/58,white,nonhispanic,brown,,5/5/15,2015-12195,2151 ROYAL AVE,Anytown,707.6A(1)(a),VEH. HOMICIDE/OWI (FELB),2256,GREGORY,GRAVES,20-00486,5/7/15,5/16/15, ,Any County Sheriff,Summoned-Cited,,0,15754,F,Felony B,1177,LUTHER,KELLY,2016,KURT,OLSON,88555,sentenced,,25,25,18818
486,486,85286618-799c-49f4-9c8d-2f7f3aeb786a,Richard,Cruz,,M,5/12/81,other,hispanic,grey,,2/8/13,2013-41615,902 NICHOLS RD,Anytown,713.6A,Burglary 3rd Degree,9046,DENNIS,HAMMES,20-00487,2/9/13,2/11/13, ,Anytown Police Dept.,Summoned-Cited,,0,75285,F,Felony D,1956,TODD,DARJANIA,3645,JOSH,HOAGLAND,16937,sentenced,,5,31,51297
487,487,7398249e-9d00-44f8-8aa5-26c4c35307f4,Ashley,Schneider,,F,1/21/90,,nonhispanic,brown,,9/15/16,2016-73098,2151 ROYAL AVE,Anytown,155A.21,Possess Prescrip Drug/Device w/o Prescription,6695,SARAH,KING,20-00488,9/16/16,9/16/16,bench warrant,Any County Sheriff,On-View,,0,13545,M,Serious Misdemeanor,8653,JOSH,JENNINGS,9258,MIKE,MOSES,79736,,360,1,36,67531
488,488,5a5b4f40-e8d4-4d24-88c0-4d9fbc85518a,Tanner,Howard,751-97-6745,M,5/18/87,amindian,nonhispanic,brown,1,10/24/15,2015-15031,2151 ROYAL AVE,Anytown,"708.1(1), 708.2(4)",Assault -- Intend to Cause Pain/Injury,3327,TRAVIS,BATCHELLER,20-00489,10/27/15,11/3/15, ,Any County Sheriff,On-View,,0,27153,M,Serious Misdemeanor,3207,MERTON,CASH,6323,ERIC,QUILES,79857,sentenced,90,,19,58709
489,489,3271f25f-31af-4fa5-9114-a8e6cf3c4897,Briana,Moore,643-84-2219,F,6/25/54,,,brown,,9/29/15,2015-30638,626 FEMRITE DR,Anytown,719.1,Interfere w/official acts w/bodily inj,1042,ADAM,MERCER,20-00490,10/1/15,10/10/15,Sneak and peek warrant,Any County Sheriff,Taken into custody,Knife,1,39527,O,Unknown,6172,GABE,BONNEMA,1891,ALEX,AKERS,67035,sentenced,,,57,35920
490,490,609de1b3-092e-4005-a099-da97fbf6bbd1,Deborah,Moore,890-88-0317,F,4/23/81,white,nonhispanic,brown,0,3/10/16,2016-88871,2151 ROYAL AVE,Anytown,"708.11(2), 708.11(3)å©",Stalking,4076,BRAD,MERCER,20-00491,3/11/16,3/18/16, ,Any County Sheriff,On-View,,0,91086,M,Aggravated Misdemeanor,6247,TYLER,WOOD,6003,DAVID,ZACHARIAS,30293,sentenced,360,1,49,58573
491,491,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthony,Burton Johnston,577-39-1310,M,12/12/94,other,,brown,,3/13/15,2015-96791,BELTINE HIGHWAY  & S TOWNE DR,Anytown,123.46,CONSUMPTION / INTOXICATION - 1978 (SMMS),5635,RORY,HAMMES,20-00492,3/15/15,3/17/15, ,Any County Sheriff,Summoned-Cited,,1,28162,M,Simple Misdemeanor,6685,ALIRIO,COOK,1601,BRADLEY,ROBERTS,54495,sentenced,10,,25,55496
492,492,ef6d1c86-32ca-43c3-8eba-3da71b4c4601,Melissa,Morales,170-48-7694,F,5/22/50,white,nonhispanic,brown,1,2/2/16,2016-25792,2101 BROADWAY ,Anytown,124.414,Possess Drug Paraphernalia,8165,GARY,STEVENS,20-00493,2/3/16,2/6/16, ,Any County Sheriff,Taken into custody,Handgun,1,19322,M,Simple Misdemeanor,9572,BRAD,JELINEK,1583,REBECCA,FARRELL,92376,sentenced,10,,58,47965
493,493,523e6174-2a49-4fdb-9ecc-be9d85dfc815,Danny,Pugh,,M,10/12/50,white,,brown,,9/6/16,2016-19290,300 FEMRITE DR,Anytown,708.2C(3),"ASSAULT CAUSING INJURY, VIOL OF INDIV RIGHTS (AGMS",2389,KURT,SEYMOUR,20-00494,9/6/16,9/7/16, ,Anytown Police Dept.,Summoned-Cited,,0,98941,M,Aggravated Misdemeanor,7277,JESSE,SEYMOUR,1431,ERIC,FRANK,17128,sentenced,720,2,26,81280
494,494,247e6900-23a3-44ce-b4cb-5e1372725e8e,Grace,Stokes,263-32-5046,F,6/5/87,white,,brown,0,10/12/13,2013-86450,2151 ROYAL AVE,Anytown,321J.2,OPER VEH WH INT OWI,2832,KURT,BUSZKA,20-00495,10/13/13,10/15/13, ,Anytown Police Dept.,On-View,,1,54369,M,Simple Misdemeanor,3431,LUCAS,JR,7973,JOHN,MITTVALSKY,17049,sentenced,10,,26,23518
495,495,7398249e-9d00-44f8-8aa5-26c4c35307f4,Ashley,Schneider,,F,1/21/90,white,nonhispanic,brown,1,1/25/13,2013-98595,5734 MAIN DR,Anytown,"714.1, 714.2(3)","Theft 3rd Deg -- General > $500 < $1,000",9268,RYAN,WOLF,20-00496,1/26/13,1/29/13, ,Anytown Police Dept.,On-View,,1,96099,M,Aggravated Misdemeanor,3207,TYLER,MONTZ,5382,MITCH,GARMOE,29017,sentenced,360,1,43,67061
496,496,ae541142-4232-4092-8566-4e2db1b97a48,Brian,Campbell,196-99-8040,,6/14/56,asian,,brown,,6/15/16,2016-56964,2151 ROYAL AVE,Anytown,321.22,PERMITTING UNAUTHORIZED PERSON TO DRIVE,8341,LUKE,KUNKEL,20-00497,6/16/16,6/21/16, ,Any County Sheriff,On-View,Handgun,0,58040,O,Scheduled Violation,3167,MARTY,SCHMIDT,6003,ANDREW,ALKE,85783,sentenced,,,38,73009
497,497,ac4c96e6-f65d-4ff6-8e3f-d77a0a802caa,David,Mcmillan,,M,11/12/94,,nonhispanic,blue,,2/28/15,2015-98200,2151 ROYAL AVE,Anytown,708.13(2),DISARMING A PEACE OFFICER (FELD),2908,180,ZACHARIAS,20-00498,2/28/15,3/5/15, ,Any County Sheriff,Taken into custody,,1,90629,F,Felony D,6386,OHARE,MERCER,5288,TRAVIS,HOAGLAND,93200,sentenced,,4,30,77426
498,498,939d2c14-3a8e-4ff2-b101-107919ce4d63,Brandon,Ellis,846-01-3560,M,8/5/71,other,hispanic,brown,,12/11/14,2014-39015,2151 ROYAL AVE,Anytown,321.306,IMPROPER USE OF LANES -,2947,MERTON,MURPHY,20-00499,12/14/14,12/14/14, ,Anytown Police Dept.,Summoned-Cited,,0,82525,O,Scheduled Violation,7481,SARAH,MOSES,4037,MARK,MONTZ,18810,,,,28,72204
499,499,3271f25f-31af-4fa5-9114-a8e6cf3c4897,Briana,Moore,643-84-2219,F,6/25/54,white,,brown,0,9/9/15,2015-54074,6540 MAIN DR,Anytown,708.4(1),WILLFUL INJURY - CAUSING SERIOUS INJURY (FELC),2015,GREGORY,CASH,20-00500,9/12/15,9/20/15, ,Anytown Police Dept.,On-View,,0,46510,F,Felony C,4612,REBECCA,MAULE,9959,LUTHER,HAMMES,95112,sentenced,,5,20,92125
500,500,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthony,Burton Johnston,577-39-1310,M,12/12/94,other,hispanic,brown,,6/4/15,2015-73056,2500 ROYAL AVE,Anytown,321J.3(1)(g),CONTEMPT-FAILURE TO ATTEND OWI POST-TREATMENT,5385,RYAN,ARCENAS,20-00501,6/6/15,6/11/15, ,Any County Sheriff,Summoned-Cited,,0,16298,M,Serious Misdemeanor,8687,LUCAS,LAKOSE,9156,DEMETRIUS,BERNHARD,85816,sentenced,360,1,21,21548
501,501,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Simmons,,F,4/1/58,white,nonhispanic,brown,,8/11/13,2013-82766,2151 ROYAL AVE,Anytown,692A.113-A,SEX OFF - AREA/ACTIVITY VIOL - 1ST OFFENSE,9464,TODD,GIST,20-00502,8/12/13,8/12/13, ,Any County Sheriff,Taken into custody,,0,21034,M,Aggravated Misdemeanor,5123,MICHAEL,OHARE,2853,MATT,LANGENBERG,68096,sentenced,360,1,52,74260
502,502,f763f868-b52f-4b6d-8983-54024d1eedf5,Cathie,Mcdaniel,060-68-1769,F,5/10/69,white,,brown,,11/19/15,2015-28696,2151 ROYAL AVE,Anytown,155A.23-E,"PROH ACTS - SCH I, II OR III CONTROLLED SUBSTANCE",8695,BOB,TIES,20-00503,11/19/15,11/24/15, ,Anytown Police Dept.,Summoned-Cited,,1,27988,F,Felony B,1181,ROBERT,BAILEY,3477,MELEAH,HERNANDEZ,45159,sentenced,,25,37,71034
503,503,4ba6bdca-1d5e-40ca-aced-433a20aa30c4,Patricia,Rodriguez,,F,1/7/94,,nonhispanic,brown,1,6/26/16,2016-32643,2101 BROADWAY ,Anytown,"453B.12, 453B.3, 453B.1",Fail to Affix Drug Tax Stamp -- 42 1/2 g or > Mar,5878,NICK,REINHARD,20-00504,6/26/16,6/30/16, ,Any County Sheriff,Taken into custody,,1,62720,F,Felony D,5670,CHARLES,HARTSHORN,2750,IAN,SMITH,19826,sentenced,,5,64,58871
504,504,133f811d-fa90-40d4-96b1-cb66b11f0c1c,Malik,Newman,,M,6/4/61,white,,brown,,6/16/14,2014-70648,512 FEMRITE DR,Anytown,719.1(1)B,"INTERFERENCE W/OFFICIAL ACTS, BODILY INJURY (AGMS)",6901,BRANDON,CAROLAN,20-00505,6/19/14,6/28/14,Warrant of delivery,Any County Sheriff,Taken into custody,,0,22902,M,Aggravated Misdemeanor,5338,JUAN,ADOLPH,5555,MIKE,POP,51496,sentenced,720,2,43,50520
505,505,f763f868-b52f-4b6d-8983-54024d1eedf5,Cathy,Mullins,060-68-1769,F,5/10/69,amindian,nonhispanic,brown,,10/25/13,2013-48239,2151 ROYAL AVE,Anytown,708.3(B),ASSLT WHILE PARTIC. IN FELONY - 1978 (FELD),9401,HANNA,GIESE,20-00506,10/25/13,10/31/13, ,Anytown Police Dept.,Summoned-Cited,,0,49286,F,Felony D,6019,JEFF,SANTIAGO,2024,ANDY,BOWSTEAD,58359,cleared,,5,24,58127
506,506,c451eab6-c937-40de-babc-e7a62728a494,Marvin,Martinez,654-93-2008,M,12/23/90,,nonhispanic,blue,,6/20/14,2014-60627,506 FALCON CIR,Anytown,235B.20(7),DEPENDANT ADULT ABUSE -INTENTIONALLY-KNOWINGLY (SRMS),3278,DAVID,MOSES,20-00507,6/22/14,7/1/14, ,Any County Sheriff,Summoned-Cited,,0,17729,M,Serious Misdemeanor,2244,TYLER,BUSZKA,9090,DARIN,BONNEMA,64467,sentenced,90,,32,55732
507,507,38d8f796-3ad5-4ae2-93da-afc0667d8705,Patty,Hicks,077-05-4873,F,1/16/64,black,nonhispanic,blue,,12/17/15,2015-32381,3735 MAIN DR,Anytown,321.174,FAILURE TO HAVE VALID LICENSE/PERMIT WHILE OPER. M,8549,MARK,SANTIAGO,20-00508,12/20/15,12/27/15, ,Anytown Police Dept.,Taken into custody,,0,37345,O,Scheduled Violation,6874,ANDY,HOLLWAY,8623,TRAVIS,MOSES,62460,cleared,,,21,77877
508,508,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Nettie,Mckinney,826-81-9676,F,3/10/57,other,hispanic,brown,,5/10/16,2016-31488,2500 ROYAL AVE,Anytown,708.2(2),Assault (Serious),3514,CHRIS,CASH,20-00509,5/12/16,5/12/16, ,Any County Sheriff,Taken into custody,,0,72021,O,Unknown,2796,CIZMADIA,PRESTEGARD,3059,KEVIN,SMITH,82445,sentenced,,,49,59383
509,509,38d8f796-3ad5-4ae2-93da-afc0667d8705,Martha,Hicks,077-05-4873,F,1/16/64,black,nonhispanic,blue,,1/14/15,2015-57022,6540 MAIN DR,Anytown,124.401(5),Drug Poss Cocaine,8110,MATT,SCHABILION,20-00510,1/17/15,1/18/15, ,Anytown Police Dept.,On-View,,0,59217,F,Felony C,1223,NICK,MOSES,4645,GREG,HERRIG,10642,sentenced,,5,36,63210
510,510,eacfeb61-8f31-4d12-925d-caaabf65a6a6,Stacey,Phillips,778-29-5879,F,11/17/89,white,nonhispanic,brown,,6/23/15,2015-15843,BRIDGE RD & FROST WOODS RD,Anytown,,FAILURE TO LICENSE,9413,REBECCA,KELLY,20-00511,6/23/15,6/30/15, ,Anytown Police Dept.,Taken into custody,,0,62203,M,Simple Misdemeanor,4827,TYLER,ERICKSON,6650,ZACH,OHARE,14715,sentenced,10,,44,31903
511,511,a1821dd6-16a7-4485-9ece-c22c8714a384,Megan,Gibbs,218-89-2055,F,5/26/92,,,brown,,1/10/14,2014-19323,2101 BROADWAY ,Anytown,705.1(C),SOLICITATION TO COMMIT AG MISSD - 1978 (AGMS),3471,SARAH,MOSES,20-00512,1/13/14,1/20/14,No-knock warrant,Anytown Police Dept.,Taken into custody,Knife,0,42739,M,Aggravated Misdemeanor,7268,ROBERT,ATALIG,2809,JESS,MOORE,94528,sentenced,720,2,54,40397
512,512,176c23a9-7db5-415e-bf85-0212c9eda59d,Meghan,Smith,081-83-9782,F,5/9/96,pacisland,nonhispanic,grey,,11/11/14,2014-43732,2151 ROYAL AVE,Anytown,"711.1, 711.2",Robbery 1st Deg -- Inflict or Attempt Ser. Inj.,3318,SARAH,MOSES,20-00513,11/11/14,11/17/14, ,Any County Sheriff,On-View,,0,50572,F,Felony B,8749,BRAD,REINHARD,6924,JOHN,BOWSTEAD,49583,cleared,,25,55,44871
513,513,38d8f796-3ad5-4ae2-93da-afc0667d8705,Martha,Hicks,077-05-4873,F,1/16/64,black,nonhispanic,blue,,11/1/14,2014-77659,718 INTERLAKE DR,Anytown,"711.1, 711.3",Robbery 2nd  Deg -- Asslt or other Forc Fel threat,7778,ALEX,TACK,20-00514,11/1/14,11/8/14, ,Any County Sheriff,On-View,,0,18063,F,Felony C,6727,KYLE,ROTH,4720,MATTHEW,KELLY,65155,sentenced,,5,33,49987
514,514,3bb16139-e7d1-49f2-8dce-88010011f25c,Ashley,White,087-69-2011,F,1/9/96,asian,,brown,,1/16/15,2015-11237,2151 ROYAL AVE,Anytown,708A.5,THREAT OF TERRORISM (FELD),1611,BRANDON,O'HARE,20-00515,1/16/15,1/16/15, ,Any County Sheriff,Summoned-Cited,,0,74124,F,Felony D,5745,DOUG,ERICKSON,3534,BRAD,UNGARO,64407,sentenced,,4,31,45189
515,515,f089e165-beec-451c-9fa3-af590a02305d,Val,Guerrero,623-23-2068,F,12/26/51,asian,,brown,,12/10/15,2015-61106,2151 ROYAL AVE,Anytown,692A.7(1)-A,SEX OFFENDER REGISTRY - FAIL TO REGISTER/1ST OFFEN,8641,ARCENAS,BARKHOFF,20-00516,12/10/15,12/15/15, ,Any County Sheriff,Summoned-Cited,,1,86911,M,Aggravated Misdemeanor,2871,MICHAEL,LAKOSE,5156,TRAVIS,WERLING,56205,,360,1,27,54493
516,516,80ee223d-294f-4dbd-b2f5-da2594f53358,Scott,Valenzuela,130-75-8635,M,12/22/55,,nonhispanic,brown,,6/10/15,2015-18090,2151 ROYAL AVE,Anytown,"719.7(1), 719.7(3)(a), 719.7(4)",Poss Contrab On/In Grnds Corr Facil -- No Weap,9232,AARON,MOSES,20-00517,6/12/15,6/18/15, ,Any County Sheriff,Summoned-Cited,Handgun,0,51302,F,Felony D,9009,DEREK,CLARAHAN,2316,VIRGINIA,VANZEE,37020,sentenced,,1,59,83186
517,517,ca18962e-a0c1-401f-b171-b2435b696ff2,Tony,Burton Johnston,,M,12/12/94,,,brown,0,12/14/15,2015-10502,2018 GREENWAY CROSS ,Anytown,723.4(1),Disorderly Conduct -- Fighting,9154,BRENT,ARCENAS,20-00518,12/17/15,12/18/15,Warrant of committal,Anytown Police Dept.,Summoned-Cited,,0,69268,M,Simple Misdemeanor,8496,STEVE,MOSES,2522,OLETA,VRIEZELAAR,30245,sentenced,10,,18,89861
518,518,85286618-799c-49f4-9c8d-2f7f3aeb786a,Richard,Cruz,442-08-7541,M,5/12/81,other,hispanic,grey,,7/21/16,2016-90620,MAIN DR & WINNEQUAH RD,Anytown,712.6(2),POSS ANY INCENDIARY DEVISE OR MATERIAL,9859,MATT,GLEASON,20-00519,7/23/16,8/1/16, ,Any County Sheriff,On-View,,0,43437,M,Aggravated Misdemeanor,9666,ABE,COOK,2377,BRAD,ROLING,89849,,720,2,50,93659
519,519,b4ca4ad5-caf4-43ee-9781-23fcdb322fe5,Michael,Murray,212-03-4416,M,10/8/87,black,nonhispanic,brown,,5/7/15,2015-43437,3909 MAIN DR,Anytown,708.7(1)(b),HARASSMENT BY PERSONAL CONTACT (SMMS),5668,CHRIS,NICHOLSON,20-00520,5/9/15,5/10/15, ,Any County Sheriff,Taken into custody,Handgun,1,97132,M,Simple Misdemeanor,1009,BRAD,HOSKINS,3722,ROBERT,TRESTIAN,79051,sentenced,10,,18,38771
520,520,f02a4cf2-1930-4213-b746-fb5fb69e0795,Patrick,Davila,851-08-5323,M,2/17/71,white,,brown,0,1/13/15,2015-83407,6401 COPPS AVE,Anytown,723.4(1),disorderly conduct,5599,MIKE,SWANSON,20-00521,1/15/15,1/18/15, ,Any County Sheriff,On-View,Firearm,0,78578,M,Simple Misdemeanor,7521,MICHAEL,CHANDLER,7261,JOHN,WISMAN,68281,sentenced,10,,21,43138
521,521,523e6174-2a49-4fdb-9ecc-be9d85dfc815,Daniel,Pugh,034-88-8059,M,10/12/50,white,nonhispanic,brown,,1/1/16,2016-79743,4400 MAIN DR,Anytown,321.44,DEFECTIVE TIRES -,9745,JUAN,LAKOSE,20-00522,1/4/16,1/8/16, ,Any County Sheriff,On-View,,1,89095,O,Scheduled Violation,5073,MATT,MORGAN,5803,AARON,REGENWETHER,11590,,,,38,41048
522,522,5aacae53-405f-4f85-8e92-b1a297f59259,William,Johnson,486-84-9177,M,11/15/87,,,brown,,12/24/14,2014-67219,2451 BROADWAY ,Anytown,718.2,impersonate peace officer,1751,ROBERT,MURPHY,20-00523,12/26/14,12/31/14, ,Anytown Police Dept.,Summoned-Cited,Rifle,1,89830,O,Unknown,1154,ROSS,BARNEY,1986,REBECCA,WALLACE,46796,sentenced,,,27,98535
523,523,02558a66-b3bc-4b09-96b2-c1fdfc017f64,Olivia,Lee,801-94-9546,F,3/12/88,black,nonhispanic,brown,,8/8/15,2015-49618,BELTINE HIGHWAY  & S TOWNE DR,Anytown,727.2,"FIREWORKS: SELL, EXPOSES FOR SALE OR USE (SMMS)",5359,SCOTT,PRESTEGARD,20-00524,8/11/15,8/15/15, ,Anytown Police Dept.,Summoned-Cited,,0,64903,M,Simple Misdemeanor,4598,STEVE,DEKOTER,6518,BOB,BRADLEY,27668,sentenced,10,,27,68181
524,524,a26de2c1-cdd5-4a68-9808-7f9a78c0b1de,Tracy,Pennington,104-71-2007,F,2/4/68,,,blue,,4/8/16,2016-48412,2151 ROYAL AVE,Anytown,"716.8(1), 716.7(2)(a)",Trspass w/ Int to Remove/Alter/Damage = $0 Inj/Dam,1567,DOUGLAS,CO,20-00525,4/11/16,4/16/16, ,Any County Sheriff,Taken into custody,,0,75719,M,Simple Misdemeanor,4334,MICHAEL,WERLING,8453,JOSH,STRICKER,14372,sentenced,10,,62,59605
525,525,3271f25f-31af-4fa5-9114-a8e6cf3c4897,Briana,Moore,643-84-2219,F,6/25/54,,nonhispanic,brown,,10/4/14,2014-43052,BELTINE HIGHWAY  & STOUGHTON RD,Anytown,709.4(2)(C)(4),SEXUAL ABUSE 3RD DEGREE-DEFT < 20 (FELC),5186,CHAD,COTTERILL,20-00526,10/4/14,10/8/14, ,Anytown Police Dept.,Taken into custody,,0,91693,F,Felony C,1658,NILES,MURPHY,1823,TYLER,CLARK,89939,sentenced,,2,62,58986
526,526,83f3b041-a0a8-4402-982d-0536b85e4dd0,Shelbie,Stevens,282-86-9284,F,8/11/80,white,nonhispanic,brown,,4/1/13,2013-79988,1201 BROADWAY ,Anytown,124.414,Possess Drug Paraphernalia,8939,DEREK,SALSBERY,20-00527,4/4/13,4/5/13, ,Any County Sheriff,Summoned-Cited,,1,34769,O,Unknown,8929,DAVE,GIBNEY,5730,STEPHEN,BAILEY,93671,sentenced,,,50,86818
527,527,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Natalie,Leonard,826-81-9676,F,3/10/57,other,hispanic,brown,,1/6/15,2015-71508,5450 MAIN DR,Anytown,,OBSTRUCTION,3646,MICHAEL,VEST,20-00528,1/7/15,1/7/15, ,Anytown Police Dept.,Summoned-Cited,Handgun,0,72619,O,Unknown,7376,JEFF,ROLING,7837,EDWARD,HEKTOEN,87838,sentenced,,,25,26280
528,528,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthony,Burton Johnston,577-39-1310,M,12/12/94,other,hispanic,brown,,2/25/14,2014-71128,2151 ROYAL AVE,Anytown,712.3,ARSON 2ND DEGREE - 1978 (FELC),8058,MICHAEL,VRIEZELAAR,20-00529,2/28/14,3/9/14, ,Anytown Police Dept.,Taken into custody,,0,32068,F,Felony C,3309,BEN,GIBNEY,6840,MATTHEW,LORENCE,90679,sentenced,,2,63,98417
529,529,486cedd4-a26a-4a28-be6a-b5544a71683a,Michael,Russell,785-04-2711,M,12/7/51,white,,brown,,12/26/14,2014-68591,412 FALCON CIR,Anytown,"714.1(8), 714.2(2)","Theft 2nd Deg -- Acces Comp/Netwrk >$1,000<$10,000",6082,AARON,KELLY,20-00530,12/27/14,12/28/14, ,Any County Sheriff,Summoned-Cited,,0,98275,F,Felony D,8301,SHAWN,DROLL,5867,MELEAH,DUNBAR,74486,sentenced,,1,55,67366
530,530,dadd4135-da18-4a48-b005-0ad15526bb3c,Erik,Freeman,838-51-8121,M,1/12/80,white,nonhispanic,brown,,8/16/14,2014-81299,2151 ROYAL AVE,Anytown,236.2(A),DOMESTIC ASSAULT REF. 708.2(1) - 1989 (AGMS),6269,REBECCA,CLUBB,20-00531,8/17/14,8/19/14, ,Any County Sheriff,Summoned-Cited,,1,66597,M,Aggravated Misdemeanor,9705,HANNA,REINHARD,1510,BRAD,MARLOWE,78617,sentenced,720,2,25,59519
531,531,89c8e692-c608-4a06-8651-78a60aab7525,April,Wong,102-71-5431,F,1/16/95,white,,brown,,1/6/13,2013-51700,BELTINE HIGHWAY  & MAIN DR,Anytown,715A.5,Tampering w/ Records,1298,ABE,MCADAMS,20-00532,1/8/13,1/17/13, ,Any County Sheriff,Taken into custody,,0,22845,M,Aggravated Misdemeanor,4009,JEFF,HARTMAN,6006,MAULE,HANSEN,81010,sentenced,720,2,16,90282
532,532,4ba6bdca-1d5e-40ca-aced-433a20aa30c4,Patricia,Rodriguez,477-25-6932,F,1/7/94,white,nonhispanic,brown,1,6/19/14,2014-89665,2051 BROADWAY ,Anytown,709C.1,CRIMINAL TRANSM OF HUMAN IMMUNODEFICIENCY VIRUS (F,5005,THOMAS,MERCER,20-00533,6/19/14,6/21/14, ,Any County Sheriff,On-View,,1,81056,F,Felony B,1462,COREY,PASSMORE,9949,ALIRIO,HRUBY,81142,sentenced,,10,53,73931
533,533,7664755e-ee08-4b0d-938d-b20152b1f107,Mel,Hoffman,171-02-1696,F,2/4/72,other,hispanic,brown,,1/14/15,2015-71898,2151 ROYAL AVE,Anytown,123.46,Public Intox -- 1st Off,6041,CHUCK,FULTON,20-00534,1/15/15,1/16/15, ,Any County Sheriff,Summoned-Cited,,1,79943,O,Unknown,8040,KYLE,GINGERICH,6784,TODD,HARKRIDER,16548,sentenced,,,24,28603
534,534,f763f868-b52f-4b6d-8983-54024d1eedf5,Cathy,Mcdaniel,060-68-1769,F,5/10/69,white,hispanic,brown,,1/15/13,2013-58278,2151 ROYAL AVE,Anytown,,PUBLIC URINATION (IC ORDINANCE,1735,BEN,STEEN,20-00535,1/15/13,1/15/13, ,Any County Sheriff,On-View,,1,15523,O,Unknown,6395,ERIC,STRICKER,5116,BRAD,BAILEY,98484,sentenced,,,42,98926
535,535,5aacae53-405f-4f85-8e92-b1a297f59259,William,Johnson,486-84-9177,M,11/15/87,white,nonhispanic,brown,,9/4/15,2015-33570,,,321.78,TAMPERING WITH A MOTOR VEHECLE - 1989,6978,TRENT,WOLF,20-00536,9/5/15,9/13/15, ,Anytown Police Dept.,Taken into custody,,0,57844,M,Simple Misdemeanor,7124,SHAWN,WOOD,8029,MATT,CASSELL,46357,sentenced,10,,29,55523
536,536,aa34f9b5-7615-4d07-936c-bae78ecd3437,Julie,Washington,230-93-9552,F,7/6/89,white,nonhispanic,grey,,3/19/15,2015-94030,2151 ROYAL AVE,Anytown,,PUBLIC URINATION (IC ORDINANCE,7877,JUAN,MURPHY,20-00537,3/20/15,3/20/15, ,Any County Sheriff,Taken into custody,,0,45745,O,Unknown,5751,179,SAMMONS,6726,AARON,WILLIAMS,36604,sentenced,,,61,66825
537,537,939d2c14-3a8e-4ff2-b101-107919ce4d63,Brandon,Ellis,,M,8/5/71,other,hispanic,brown,,9/15/13,2013-14188,5801 MAIN DR,Anytown,724.5,FAILURE TO CARRY/PRODUCE A CONCEALED WEAPONS PERMI,3397,ADAM,GLEASON,20-00538,9/16/13,9/21/13, ,Any County Sheriff,Taken into custody,,0,61976,M,Simple Misdemeanor,5922,DOUGLAS,FAULKCON,4406,ANDY,BATCHELLER,26838,sentenced,10,,61,99532
538,538,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthony,Burton Johnston,577-39-1310,M,12/12/94,,,brown,,2/25/13,2013-91563,1201 BROADWAY ,Anytown,123.47(5),SUPPLYING ALCOHOL TO PERSON UNDER AGE-SERIOUS INJU,7550,JERRY,FORTMANN,20-00539,2/26/13,3/2/13, ,Any County Sheriff,On-View,,0,55086,M,Aggravated Misdemeanor,9117,DENNIS,TYRRELL,5989,ADAM,BROLL,80206,sentenced,360,1,36,36936
539,539,4f304f4a-a022-4903-a34b-e67901076b54,Joel,Perkins,,M,2/3/84,white,nonhispanic,brown,0,5/20/13,2013-70371,2151 ROYAL AVE,Anytown,665.2(4),CONTEMPT-DISOBEDIENCE TO SUBPOENA/REFUSAL TO TESTI,6891,MATTHEW,HOLLWAY,20-00540,5/23/13,5/28/13, ,Anytown Police Dept.,On-View,Rifle,0,90860,M,Serious Misdemeanor,2075,MITCH,MERCER,6836,ANDY,CLUBB,57846,sentenced,360,1,47,82863
540,540,90c7c2bc-0ed6-4843-a9bc-3ab3e2e98d77,Patrick,Black,,M,11/28/51,white,nonhispanic,brown,,2/24/13,2013-46104,2151 ROYAL AVE,Anytown,155A.23-F,PROB. ACTS - SCH IV OR V CONTROLLED SUBSTANCE (AGM,3144,DEMETRIUS,REINHARD,20-00541,2/26/13,3/7/13, ,Any County Sheriff,On-View,Knife,0,96949,M,Aggravated Misdemeanor,5695,KENDALL,REGENWETHER,9206,BRANDON,JENNINGS,36646,sentenced,720,2,61,15028
